horizon_start,date,h,em,yoy_fc,yoy_act,gap_pp
2025-04-01,2025-04-01,1,EM3,-1.9702,-0.8165,-1.1537
2025-04-01,2025-05-01,2,EM3,-0.6919,0.5817,-1.2736
2025-04-01,2025-06-01,3,EM3,-1.4049,0.2883,-1.6933
2025-04-01,2025-07-01,4,EM3,-0.9742,0.6767,-1.6508
2025-04-01,2025-08-01,5,EM3,0.5223,1.5189,-0.9966
2025-04-01,2025-09-01,6,EM3,0.9911,2.1172,-1.1261
2025-04-01,2025-10-01,7,EM3,1.4835,2.6719,-1.1884
2025-04-01,2025-11-01,8,EM3,1.3493,2.3715,-1.0222
2025-04-01,2025-12-01,9,EM3,0.2512,2.8837,-2.6325
2025-04-01,2026-01-01,10,EM3,-0.9249,2.4225,-3.3474
2025-04-01,2026-02-01,11,EM3,-1.0068,1.5519,-2.5587
2025-04-01,2026-03-01,12,EM3,-0.8797,2.3786,-3.2584
2025-05-01,2025-05-01,1,EM3,-0.611,0.5817,-1.1926
2025-05-01,2025-06-01,2,EM3,-1.2882,0.2883,-1.5765
2025-05-01,2025-07-01,3,EM3,-0.6604,0.6767,-1.337
2025-05-01,2025-08-01,4,EM3,0.5342,1.5189,-0.9847
2025-05-01,2025-09-01,5,EM3,1.2473,2.1172,-0.8699
2025-05-01,2025-10-01,6,EM3,1.8441,2.6719,-0.8279
2025-05-01,2025-11-01,7,EM3,2.1009,2.3715,-0.2707
2025-05-01,2025-12-01,8,EM3,1.3292,2.8837,-1.5545
2025-05-01,2026-01-01,9,EM3,0.7229,2.4225,-1.6996
2025-05-01,2026-02-01,10,EM3,1.0359,1.5519,-0.516
2025-05-01,2026-03-01,11,EM3,1.1166,2.3786,-1.262
2025-05-01,2026-04-01,12,EM3,0.9727,4.7458,-3.773
2025-06-01,2025-06-01,1,EM3,0.17,0.2883,-0.1183
2025-06-01,2025-07-01,2,EM3,0.8228,0.6767,0.1461
2025-06-01,2025-08-01,3,EM3,2.1747,1.5189,0.6558
2025-06-01,2025-09-01,4,EM3,2.5094,2.1172,0.3922
2025-06-01,2025-10-01,5,EM3,3.136,2.6719,0.464
2025-06-01,2025-11-01,6,EM3,3.1189,2.3715,0.7474
2025-06-01,2025-12-01,7,EM3,2.4302,2.8837,-0.4535
2025-06-01,2026-01-01,8,EM3,1.777,2.4225,-0.6455
2025-06-01,2026-02-01,9,EM3,2.0408,1.5519,0.4889
2025-06-01,2026-03-01,10,EM3,2.2519,2.3786,-0.1267
2025-06-01,2026-04-01,11,EM3,2.0433,4.7458,-2.7025
2025-06-01,2026-05-01,12,EM3,1.6681,5.4458,-3.7777
2025-07-01,2025-07-01,1,EM3,-0.6521,0.6767,-1.3287
2025-07-01,2025-08-01,2,EM3,0.62,1.5189,-0.8989
2025-07-01,2025-09-01,3,EM3,1.0408,2.1172,-1.0764
2025-07-01,2025-10-01,4,EM3,1.4976,2.6719,-1.1743
2025-07-01,2025-11-01,5,EM3,1.579,2.3715,-0.7926
2025-07-01,2025-12-01,6,EM3,0.9359,2.8837,-1.9478
2025-07-01,2026-01-01,7,EM3,0.5172,2.4225,-1.9053
2025-07-01,2026-02-01,8,EM3,0.6774,1.5519,-0.8745
2025-07-01,2026-03-01,9,EM3,0.4666,2.3786,-1.912
2025-07-01,2026-04-01,10,EM3,-0.0193,4.7458,-4.765
